Genome,Study,Country,Region,Year,Accession,Database,Continent
PC0059-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029086,varDB,Africa
PC0061-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029087,varDB,Africa
PC0063-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012478,varDB,Africa
PC0064-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012428,varDB,Africa
PC0065-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012421,varDB,Africa
PC0066-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR223047,varDB,Africa
PC0067-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR223039,varDB,Africa
PC0069-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029413,varDB,Africa
PC0070-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR205934,varDB,Africa
PC0071-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR205935,varDB,Africa
PC0073-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029414,varDB,Africa
PC0077-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029088,varDB,Africa
PC0079-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029104,varDB,Africa
PC0080-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029415,varDB,Africa
PC0083-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029416,varDB,Africa
PC0085-C,1027-PF-KE-BULL,Kenya,Kilifi,2007,ERR205956,varDB,Africa
PC0097-C,1027-PF-KE-BULL,Kenya,Kilifi,2007,ERR205958,varDB,Africa
PC0103-C,1027-PF-KE-BULL,Kenya,Kilifi,2007,ERR205959,varDB,Africa
PC0104-C,1027-PF-KE-BULL,Kenya,Kilifi,2007,ERR205951,varDB,Africa
PC0107-C,1027-PF-KE-BULL,Kenya,Kilifi,2007,ERR205952,varDB,Africa
PC0113-C,1027-PF-KE-BULL,Kenya,Kilifi,2007,ERR205953,varDB,Africa
PC0118-C,1027-PF-KE-BULL,Kenya,Kilifi,2007,ERR205954,varDB,Africa
PC0122-C,1027-PF-KE-BULL,Kenya,Kilifi,2007,ERR205955,varDB,Africa
PD0460-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164736,varDB,Asia
PD0461-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164731,varDB,Asia
PD0462-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164726,varDB,Asia
PD0464-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164739,varDB,Asia
PD0466-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164738,varDB,Asia
PD0467-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164725,varDB,Asia
PD0468-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR205973,varDB,Asia
PD0469-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164728,varDB,Asia
PD0470-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164729,varDB,Asia
PD0471-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164730,varDB,Asia
PD0472-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164713,varDB,Asia
PD0473-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164723,varDB,Asia
PD0474-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164727,varDB,Asia
PD0475-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164734,varDB,Asia
PD0476-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164740,varDB,Asia
PD0477-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164711,varDB,Asia
PD0478-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164724,varDB,Asia
PD0479-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164695,varDB,Asia
PD0480-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164712,varDB,Asia
PD0481-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR164698,varDB,Asia
PD0482-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR164706,varDB,Asia
PD0483-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR164717,varDB,Asia
PD0484-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR164708,varDB,Asia
PD0485-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR164705,varDB,Asia
PD0487-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR164699,varDB,Asia
PD0488-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR164701,varDB,Asia
PD0489-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164700,varDB,Asia
PD0490-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164702,varDB,Asia
PD0491-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164707,varDB,Asia
PD0492-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164703,varDB,Asia
PD0493-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164716,varDB,Asia
PD0494-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR164714,varDB,Asia
PD0495-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR164735,varDB,Asia
PD0496-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR164715,varDB,Asia
PD0497-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR164719,varDB,Asia
PD0498-C,1052-PF-TRAC-WHITE,Thailand,Sisakhet,2011,ERR164720,varDB,Asia
PD0499-C,1052-PF-TRAC-WHITE,Thailand,Sisakhet,2011,ERR164704,varDB,Asia
PD0500-C,1052-PF-TRAC-WHITE,Thailand,Sisakhet,2011,ERR164693,varDB,Asia
PD0501-C,1052-PF-TRAC-WHITE,Thailand,Sisakhet,2011,ERR164710,varDB,Asia
PD0502-C,1052-PF-TRAC-WHITE,Thailand,Sisakhet,2011,ERR164721,varDB,Asia
PD0503-C,1052-PF-TRAC-WHITE,Thailand,Ranong,2011,ERR164718,varDB,Asia
PD0505-C,1052-PF-TRAC-WHITE,Thailand,Ranong,2011,ERR164697,varDB,Asia
PD0506-C,1052-PF-TRAC-WHITE,Thailand,Ranong,2011,ERR164709,varDB,Asia
PD0507-C,1052-PF-TRAC-WHITE,Thailand,Ranong,2011,ERR164722,varDB,Asia
PD0508-C,1052-PF-TRAC-WHITE,Thailand,Ranong,2011,ERR164696,varDB,Asia
PD0509-Cx2,1052-PF-TRAC-WHITE,Thailand,Ranong,2011,ERR388789,varDB,Asia
PD0510-C,1052-PF-TRAC-WHITE,Thailand,Ranong,2011,ERR164733,varDB,Asia
PD0511-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR221489,varDB,Asia
PD0512-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR221490,varDB,Asia
PD0513-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR216502,varDB,Asia
PD0514-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR221491,varDB,Asia
PD0515-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR221492,varDB,Asia
PD0517-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR216504,varDB,Asia
PD0518-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR216505,varDB,Asia
PD0519-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR221493,varDB,Asia
PD0520-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR221494,varDB,Asia
PD0521-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR216506,varDB,Asia
PD0522-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR216507,varDB,Asia
PD0523-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR221495,varDB,Asia
PD0524-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR221496,varDB,Asia
PD0525-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR221497,varDB,Asia
PD0526-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR221498,varDB,Asia
PD0527-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR216508,varDB,Asia
PD0528-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR221499,varDB,Asia
PD0529-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR221500,varDB,Asia
PD0530-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR221501,varDB,Asia
PD0531-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR216509,varDB,Asia
PD0532-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR221502,varDB,Asia
PD0533-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR216510,varDB,Asia
PD0534-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR216511,varDB,Asia
PD0535-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR221503,varDB,Asia
PD0536-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR221504,varDB,Asia
PD0537-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR216512,varDB,Asia
